Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,3,"Edge 1 to 3","Undirected"
1,4,"Edge 1 to 4","Undirected"
1,5,"Edge 1 to 5","Undirected"
1,6,"Edge 1 to 6","Undirected"
1,7,"Edge 1 to 7","Undirected"
1,8,"Edge 1 to 8","Undirected"
1,9,"Edge 1 to 9","Undirected"
1,10,"Edge 1 to 10","Undirected"
1,11,"Edge 1 to 11","Undirected"
1,12,"Edge 1 to 12","Undirected"
1,13,"Edge 1 to 13","Undirected"
1,14,"Edge 1 to 14","Undirected"
1,15,"Edge 1 to 15","Undirected"
1,16,"Edge 1 to 16","Undirected"
1,18,"Edge 1 to 18","Undirected"
1,20,"Edge 1 to 20","Undirected"
1,21,"Edge 1 to 21","Undirected"
1,22,"Edge 1 to 22","Undirected"
1,23,"Edge 1 to 23","Undirected"
1,24,"Edge 1 to 24","Undirected"
1,29,"Edge 1 to 29","Undirected"
1,30,"Edge 1 to 30","Undirected"
1,35,"Edge 1 to 35","Undirected"
1,36,"Edge 1 to 36","Undirected"
1,38,"Edge 1 to 38","Undirected"
1,40,"Edge 1 to 40","Undirected"
1,42,"Edge 1 to 42","Undirected"
1,43,"Edge 1 to 43","Undirected"
1,46,"Edge 1 to 46","Undirected"
1,52,"Edge 1 to 52","Undirected"
1,53,"Edge 1 to 53","Undirected"
1,63,"Edge 1 to 63","Undirected"
1,65,"Edge 1 to 65","Undirected"
1,66,"Edge 1 to 66","Undirected"
1,67,"Edge 1 to 67","Undirected"
1,69,"Edge 1 to 69","Undirected"
1,72,"Edge 1 to 72","Undirected"
1,73,"Edge 1 to 73","Undirected"
1,74,"Edge 1 to 74","Undirected"
1,77,"Edge 1 to 77","Undirected"
1,85,"Edge 1 to 85","Undirected"
1,93,"Edge 1 to 93","Undirected"
2,1,"Edge 2 to 1","Undirected"
2,3,"Edge 2 to 3","Undirected"
2,4,"Edge 2 to 4","Undirected"
2,5,"Edge 2 to 5","Undirected"
2,6,"Edge 2 to 6","Undirected"
2,7,"Edge 2 to 7","Undirected"
2,8,"Edge 2 to 8","Undirected"
2,9,"Edge 2 to 9","Undirected"
2,10,"Edge 2 to 10","Undirected"
2,11,"Edge 2 to 11","Undirected"
2,12,"Edge 2 to 12","Undirected"
2,13,"Edge 2 to 13","Undirected"
2,14,"Edge 2 to 14","Undirected"
2,15,"Edge 2 to 15","Undirected"
2,16,"Edge 2 to 16","Undirected"
2,17,"Edge 2 to 17","Undirected"
2,18,"Edge 2 to 18","Undirected"
2,19,"Edge 2 to 19","Undirected"
2,20,"Edge 2 to 20","Undirected"
2,21,"Edge 2 to 21","Undirected"
2,22,"Edge 2 to 22","Undirected"
2,23,"Edge 2 to 23","Undirected"
2,24,"Edge 2 to 24","Undirected"
2,25,"Edge 2 to 25","Undirected"
2,26,"Edge 2 to 26","Undirected"
2,27,"Edge 2 to 27","Undirected"
2,28,"Edge 2 to 28","Undirected"
2,29,"Edge 2 to 29","Undirected"
2,30,"Edge 2 to 30","Undirected"
2,31,"Edge 2 to 31","Undirected"
2,32,"Edge 2 to 32","Undirected"
2,33,"Edge 2 to 33","Undirected"
2,34,"Edge 2 to 34","Undirected"
2,35,"Edge 2 to 35","Undirected"
2,36,"Edge 2 to 36","Undirected"
2,37,"Edge 2 to 37","Undirected"
2,38,"Edge 2 to 38","Undirected"
2,39,"Edge 2 to 39","Undirected"
2,40,"Edge 2 to 40","Undirected"
2,41,"Edge 2 to 41","Undirected"
2,42,"Edge 2 to 42","Undirected"
2,43,"Edge 2 to 43","Undirected"
2,44,"Edge 2 to 44","Undirected"
2,45,"Edge 2 to 45","Undirected"
2,46,"Edge 2 to 46","Undirected"
2,47,"Edge 2 to 47","Undirected"
2,48,"Edge 2 to 48","Undirected"
2,49,"Edge 2 to 49","Undirected"
2,50,"Edge 2 to 50","Undirected"
2,51,"Edge 2 to 51","Undirected"
2,52,"Edge 2 to 52","Undirected"
2,53,"Edge 2 to 53","Undirected"
2,54,"Edge 2 to 54","Undirected"
2,55,"Edge 2 to 55","Undirected"
2,56,"Edge 2 to 56","Undirected"
2,57,"Edge 2 to 57","Undirected"
2,58,"Edge 2 to 58","Undirected"
2,59,"Edge 2 to 59","Undirected"
2,60,"Edge 2 to 60","Undirected"
2,61,"Edge 2 to 61","Undirected"
2,62,"Edge 2 to 62","Undirected"
2,63,"Edge 2 to 63","Undirected"
2,64,"Edge 2 to 64","Undirected"
2,65,"Edge 2 to 65","Undirected"
2,66,"Edge 2 to 66","Undirected"
2,67,"Edge 2 to 67","Undirected"
2,68,"Edge 2 to 68","Undirected"
2,69,"Edge 2 to 69","Undirected"
2,70,"Edge 2 to 70","Undirected"
2,71,"Edge 2 to 71","Undirected"
2,73,"Edge 2 to 73","Undirected"
2,74,"Edge 2 to 74","Undirected"
2,75,"Edge 2 to 75","Undirected"
2,77,"Edge 2 to 77","Undirected"
2,78,"Edge 2 to 78","Undirected"
2,79,"Edge 2 to 79","Undirected"
2,80,"Edge 2 to 80","Undirected"
2,81,"Edge 2 to 81","Undirected"
2,82,"Edge 2 to 82","Undirected"
2,83,"Edge 2 to 83","Undirected"
2,88,"Edge 2 to 88","Undirected"
2,89,"Edge 2 to 89","Undirected"
2,91,"Edge 2 to 91","Undirected"
2,92,"Edge 2 to 92","Undirected"
2,94,"Edge 2 to 94","Undirected"
2,96,"Edge 2 to 96","Undirected"
2,100,"Edge 2 to 100","Undirected"
3,1,"Edge 3 to 1","Undirected"
3,2,"Edge 3 to 2","Undirected"
3,4,"Edge 3 to 4","Undirected"
3,5,"Edge 3 to 5","Undirected"
3,6,"Edge 3 to 6","Undirected"
3,7,"Edge 3 to 7","Undirected"
3,8,"Edge 3 to 8","Undirected"
3,9,"Edge 3 to 9","Undirected"
3,10,"Edge 3 to 10","Undirected"
3,11,"Edge 3 to 11","Undirected"
3,12,"Edge 3 to 12","Undirected"
3,14,"Edge 3 to 14","Undirected"
3,16,"Edge 3 to 16","Undirected"
3,17,"Edge 3 to 17","Undirected"
3,19,"Edge 3 to 19","Undirected"
3,20,"Edge 3 to 20","Undirected"
3,21,"Edge 3 to 21","Undirected"
3,27,"Edge 3 to 27","Undirected"
3,29,"Edge 3 to 29","Undirected"
3,31,"Edge 3 to 31","Undirected"
3,33,"Edge 3 to 33","Undirected"
3,34,"Edge 3 to 34","Undirected"
3,35,"Edge 3 to 35","Undirected"
3,41,"Edge 3 to 41","Undirected"
3,46,"Edge 3 to 46","Undirected"
3,50,"Edge 3 to 50","Undirected"
3,52,"Edge 3 to 52","Undirected"
