Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 50.00, 0.00, 2.00, 0.00, 0.00,  2
2,"Node 2", 45.00, 0.00, 7.00, 0.00, 0.00,  2
3,"Node 3", 40.00, 0.00, 12.00, 0.00, 0.00,  1
4,"Node 4", 45.00, 0.00, 7.00, 0.00, 0.00,  2
5,"Node 5", 46.00, 0.00, 6.00, 0.00, 0.00,  2
6,"Node 6", 36.00, 0.00, 16.00, 0.00, 0.00,  1
7,"Node 7", 0.00, 0.00, 0.00, 0.00, 0.00,  0
8,"Node 8", 51.00, 0.00, 1.00, 0.00, 0.00,  2
9,"Node 9", 39.00, 0.00, 13.00, 0.00, 0.00,  1
10,"Node 10", 45.00, 0.00, 7.00, 0.00, 0.00,  2
11,"Node 11", 44.00, 0.00, 8.00, 0.00, 0.00,  1
12,"Node 12", 46.00, 0.00, 6.00, 0.00, 0.00,  2
13,"Node 13", 45.00, 0.00, 7.00, 0.00, 0.00,  1
14,"Node 14", 46.00, 0.00, 6.00, 0.00, 0.00,  2
15,"Node 15", 46.00, 0.00, 6.00, 0.00, 0.00,  2
16,"Node 16", 47.00, 0.00, 5.00, 0.00, 0.00,  1
17,"Node 17", 44.00, 1.00, 7.00, 0.00, 0.00,  1
18,"Node 18", 43.00, 0.00, 9.00, 0.00, 0.00,  2
19,"Node 19", 44.00, 0.00, 8.00, 0.00, 0.00,  1
20,"Node 20", 43.00, 0.00, 9.00, 0.00, 0.00,  2
21,"Node 21", 39.00, 0.00, 13.00, 0.00, 0.00,  1
22,"Node 22", 46.00, 0.00, 6.00, 0.00, 0.00,  2
23,"Node 23", 48.00, 1.00, 3.00, 0.00, 0.00,  2
24,"Node 24", 47.00, 0.00, 5.00, 0.00, 0.00,  2
25,"Node 25", 42.00, 0.00, 10.00, 0.00, 0.00,  2
26,"Node 26", 46.00, 0.00, 6.00, 0.00, 0.00,  1
27,"Node 27", 0.00, 0.00, 0.00, 0.00, 0.00,  0
28,"Node 28", 43.00, 0.00, 9.00, 0.00, 0.00,  2
29,"Node 29", 38.00, 0.00, 14.00, 0.00, 0.00,  1
30,"Node 30", 50.00, 0.00, 2.00, 0.00, 0.00,  1
31,"Node 31", 41.00, 1.00, 10.00, 0.00, 0.00,  2
32,"Node 32", 39.00, 2.00, 11.00, 0.00, 0.00,  2
33,"Node 33", 39.00, 0.00, 13.00, 0.00, 0.00,  2
34,"Node 34", 45.00, 0.00, 7.00, 0.00, 0.00,  2
35,"Node 35", 41.00, 3.00, 8.00, 0.00, 0.00,  2
36,"Node 36", 40.00, 0.00, 12.00, 0.00, 0.00,  1
37,"Node 37", 48.00, 0.00, 4.00, 0.00, 0.00,  2
38,"Node 38", 40.00, 3.00, 9.00, 0.00, 0.00,  2
39,"Node 39", 46.00, 0.00, 6.00, 0.00, 0.00,  2
40,"Node 40", 40.00, 0.00, 12.00, 0.00, 0.00,  1
41,"Node 41", 44.00, 0.00, 8.00, 0.00, 0.00,  2
42,"Node 42", 46.00, 0.00, 6.00, 0.00, 0.00,  2
43,"Node 43", 41.00, 6.00, 5.00, 0.00, 0.00,  2
44,"Node 44", 0.00, 0.00, 0.00, 0.00, 0.00,  0
45,"Node 45", 44.00, 1.00, 7.00, 0.00, 0.00,  2
46,"Node 46", 43.00, 0.00, 9.00, 0.00, 0.00,  1
47,"Node 47", 46.00, 0.00, 6.00, 0.00, 0.00,  1
48,"Node 48", 0.00, 0.00, 0.00, 0.00, 0.00,  0
49,"Node 49", 36.00, 0.00, 16.00, 0.00, 0.00,  1
50,"Node 50", 41.00, 3.00, 8.00, 0.00, 0.00,  2
51,"Node 51", 44.00, 1.00, 7.00, 0.00, 0.00,  2
52,"Node 52", 45.00, 0.00, 7.00, 0.00, 0.00,  2
53,"Node 53", 35.00, 0.00, 17.00, 0.00, 0.00,  2
54,"Node 54", 34.00, 2.00, 16.00, 0.00, 0.00,  2
55,"Node 55", 32.00, 0.00, 20.00, 0.00, 0.00,  1
56,"Node 56", 40.00, 3.00, 9.00, 0.00, 0.00,  2
57,"Node 57", 28.00, 6.00, 18.00, 0.00, 0.00,  2
58,"Node 58", 39.00, 6.00, 7.00, 0.00, 0.00,  2
59,"Node 59", 0.00, 0.00, 0.00, 0.00, 0.00,  0
60,"Node 60", 33.00, 0.00, 19.00, 0.00, 0.00,  2
61,"Node 61", 43.00, 0.00, 9.00, 0.00, 0.00,  2
62,"Node 62", 38.00, 0.00, 14.00, 0.00, 0.00,  2
63,"Node 63", 46.00, 0.00, 6.00, 0.00, 0.00,  2
64,"Node 64", 48.00, 0.00, 4.00, 0.00, 0.00,  2
65,"Node 65", 39.00, 3.00, 10.00, 0.00, 0.00,  2
66,"Node 66", 45.00, 0.00, 7.00, 0.00, 0.00,  1
67,"Node 67", 38.00, 11.00, 3.00, 0.00, 0.00,  2
68,"Node 68", 44.00, 0.00, 8.00, 0.00, 0.00,  2
69,"Node 69", 37.00, 0.00, 15.00, 0.00, 0.00,  2
70,"Node 70", 41.00, 2.00, 9.00, 0.00, 0.00,  2
71,"Node 71", 34.00, 12.00, 6.00, 0.00, 0.00,  2
72,"Node 72", 45.00, 0.00, 7.00, 0.00, 0.00,  2
73,"Node 73", 46.00, 0.00, 6.00, 0.00, 0.00,  2
74,"Node 74", 40.00, 4.00, 8.00, 0.00, 0.00,  2
75,"Node 75", 45.00, 0.00, 7.00, 0.00, 0.00,  2
76,"Node 76", 39.00, 0.00, 13.00, 0.00, 0.00,  1
77,"Node 77", 39.00, 2.00, 11.00, 0.00, 0.00,  2
78,"Node 78", 35.00, 5.00, 12.00, 0.00, 0.00,  2
79,"Node 79", 40.00, 0.00, 12.00, 0.00, 0.00,  2
80,"Node 80", 39.00, 6.00, 7.00, 0.00, 0.00,  1
81,"Node 81", 42.00, 0.00, 10.00, 0.00, 0.00,  2
82,"Node 82", 40.00, 0.00, 12.00, 0.00, 0.00,  1
83,"Node 83", 31.00, 5.00, 16.00, 0.00, 0.00,  2
84,"Node 84", 43.00, 1.00, 8.00, 0.00, 0.00,  2
85,"Node 85", 46.00, 0.00, 6.00, 0.00, 0.00,  2
