Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 49.00, 0.00, 3.00, 0.00, 0.00,  2
2,"Node 2", 48.00, 0.00, 4.00, 0.00, 0.00,  2
3,"Node 3", 47.00, 0.00, 5.00, 0.00, 0.00,  2
4,"Node 4", 0.00, 0.00, 0.00, 0.00, 0.00,  0
5,"Node 5", 51.00, 0.00, 1.00, 0.00, 0.00,  2
6,"Node 6", 45.00, 0.00, 7.00, 0.00, 0.00,  2
7,"Node 7", 44.00, 0.00, 8.00, 0.00, 0.00,  2
8,"Node 8", 44.00, 0.00, 8.00, 0.00, 0.00,  2
9,"Node 9", 46.00, 0.00, 6.00, 0.00, 0.00,  2
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00,  0
11,"Node 11", 48.00, 0.00, 4.00, 0.00, 0.00,  2
12,"Node 12", 44.00, 0.00, 8.00, 0.00, 0.00,  1
13,"Node 13", 44.00, 0.00, 8.00, 0.00, 0.00,  2
14,"Node 14", 46.00, 0.00, 6.00, 0.00, 0.00,  2
15,"Node 15", 44.00, 0.00, 8.00, 0.00, 0.00,  2
16,"Node 16", 47.00, 0.00, 5.00, 0.00, 0.00,  2
17,"Node 17", 43.00, 1.00, 8.00, 0.00, 0.00,  2
18,"Node 18", 48.00, 0.00, 4.00, 0.00, 0.00,  2
19,"Node 19", 42.00, 0.00, 10.00, 0.00, 0.00,  2
20,"Node 20", 49.00, 0.00, 3.00, 0.00, 0.00,  2
21,"Node 21", 49.00, 0.00, 3.00, 0.00, 0.00,  2
22,"Node 22", 49.00, 0.00, 3.00, 0.00, 0.00,  2
23,"Node 23", 51.00, 0.00, 1.00, 0.00, 0.00,  2
24,"Node 24", 44.00, 0.00, 8.00, 0.00, 0.00,  2
25,"Node 25", 47.00, 0.00, 5.00, 0.00, 0.00,  2
26,"Node 26", 49.00, 0.00, 3.00, 0.00, 0.00,  1
27,"Node 27", 0.00, 0.00, 0.00, 0.00, 0.00,  0
28,"Node 28", 48.00, 0.00, 4.00, 0.00, 0.00,  2
29,"Node 29", 45.00, 0.00, 7.00, 0.00, 0.00,  2
30,"Node 30", 45.00, 0.00, 7.00, 0.00, 0.00,  2
31,"Node 31", 40.00, 2.00, 10.00, 0.00, 0.00,  2
32,"Node 32", 47.00, 1.00, 4.00, 0.00, 0.00,  2
33,"Node 33", 47.00, 0.00, 5.00, 0.00, 0.00,  2
34,"Node 34", 44.00, 0.00, 8.00, 0.00, 0.00,  1
35,"Node 35", 44.00, 4.00, 4.00, 0.00, 0.00,  2
36,"Node 36", 45.00, 0.00, 7.00, 0.00, 0.00,  2
37,"Node 37", 46.00, 0.00, 6.00, 0.00, 0.00,  2
38,"Node 38", 46.00, 1.00, 5.00, 0.00, 0.00,  1
39,"Node 39", 42.00, 0.00, 10.00, 0.00, 0.00,  2
40,"Node 40", 47.00, 0.00, 5.00, 0.00, 0.00,  2
41,"Node 41", 47.00, 0.00, 5.00, 0.00, 0.00,  2
42,"Node 42", 47.00, 0.00, 5.00, 0.00, 0.00,  2
43,"Node 43", 39.00, 4.00, 9.00, 0.00, 0.00,  1
44,"Node 44", 46.00, 0.00, 6.00, 0.00, 0.00,  2
45,"Node 45", 50.00, 0.00, 2.00, 0.00, 0.00,  1
46,"Node 46", 44.00, 0.00, 8.00, 0.00, 0.00,  2
47,"Node 47", 44.00, 0.00, 8.00, 0.00, 0.00,  2
48,"Node 48", 43.00, 0.00, 9.00, 0.00, 0.00,  1
49,"Node 49", 0.00, 0.00, 0.00, 0.00, 0.00,  0
50,"Node 50", 44.00, 2.00, 6.00, 0.00, 0.00,  2
51,"Node 51", 0.00, 0.00, 0.00, 0.00, 0.00,  0
52,"Node 52", 51.00, 0.00, 1.00, 0.00, 0.00,  1
53,"Node 53", 41.00, 2.00, 9.00, 0.00, 0.00,  2
54,"Node 54", 39.00, 2.00, 11.00, 0.00, 0.00,  2
55,"Node 55", 44.00, 0.00, 8.00, 0.00, 0.00,  2
56,"Node 56", 45.00, 4.00, 3.00, 0.00, 0.00,  2
57,"Node 57", 45.00, 0.00, 7.00, 0.00, 0.00,  2
58,"Node 58", 34.00, 8.00, 10.00, 0.00, 0.00,  1
59,"Node 59", 40.00, 4.00, 8.00, 0.00, 0.00,  2
60,"Node 60", 42.00, 0.00, 10.00, 0.00, 0.00,  2
61,"Node 61", 47.00, 0.00, 5.00, 0.00, 0.00,  1
62,"Node 62", 46.00, 0.00, 6.00, 0.00, 0.00,  1
63,"Node 63", 47.00, 0.00, 5.00, 0.00, 0.00,  1
64,"Node 64", 43.00, 0.00, 9.00, 0.00, 0.00,  1
65,"Node 65", 44.00, 1.00, 7.00, 0.00, 0.00,  2
66,"Node 66", 46.00, 0.00, 6.00, 0.00, 0.00,  1
67,"Node 67", 33.00, 13.00, 6.00, 0.00, 0.00,  2
68,"Node 68", 46.00, 0.00, 6.00, 0.00, 0.00,  2
69,"Node 69", 49.00, 0.00, 3.00, 0.00, 0.00,  1
70,"Node 70", 46.00, 0.00, 6.00, 0.00, 0.00,  2
71,"Node 71", 37.00, 9.00, 6.00, 0.00, 0.00,  1
72,"Node 72", 45.00, 0.00, 7.00, 0.00, 0.00,  2
73,"Node 73", 42.00, 0.00, 10.00, 0.00, 0.00,  1
74,"Node 74", 43.00, 0.00, 9.00, 0.00, 0.00,  1
75,"Node 75", 46.00, 0.00, 6.00, 0.00, 0.00,  2
76,"Node 76", 46.00, 0.00, 6.00, 0.00, 0.00,  2
77,"Node 77", 41.00, 2.00, 9.00, 0.00, 0.00,  2
78,"Node 78", 38.00, 1.00, 13.00, 0.00, 0.00,  2
79,"Node 79", 44.00, 0.00, 8.00, 0.00, 0.00,  2
80,"Node 80", 36.00, 4.00, 12.00, 0.00, 0.00,  1
81,"Node 81", 47.00, 0.00, 5.00, 0.00, 0.00,  2
82,"Node 82", 46.00, 0.00, 6.00, 0.00, 0.00,  1
83,"Node 83", 43.00, 3.00, 6.00, 0.00, 0.00,  2
84,"Node 84", 38.00, 3.00, 11.00, 0.00, 0.00,  1
85,"Node 85", 45.00, 0.00, 7.00, 0.00, 0.00,  2
86,"Node 86", 40.00, 0.00, 12.00, 0.00, 0.00,  2
87,"Node 87", 44.00, 0.00, 8.00, 0.00, 0.00,  2
88,"Node 88", 45.00, 1.00, 6.00, 0.00, 0.00,  2
89,"Node 89", 47.00, 0.00, 5.00, 0.00, 0.00,  2
90,"Node 90", 46.00, 0.00, 6.00, 0.00, 0.00,  2
91,"Node 91", 40.00, 5.00, 7.00, 0.00, 0.00,  1
92,"Node 92", 40.00, 9.00, 3.00, 0.00, 0.00,  2
93,"Node 93", 42.00, 3.00, 7.00, 0.00, 0.00,  2
94,"Node 94", 38.00, 4.00, 10.00, 0.00, 0.00,  1
95,"Node 95", 45.00, 0.00, 7.00, 0.00, 0.00,  2
96,"Node 96", 42.00, 3.00, 7.00, 0.00, 0.00,  2
97,"Node 97", 37.00, 5.00, 10.00, 0.00, 0.00,  1
98,"Node 98", 36.00, 7.00, 9.00, 0.00, 0.00,  2
99,"Node 99", 34.00, 12.00, 6.00, 0.00, 0.00,  2
100,"Node 100", 44.00, 1.00, 7.00, 0.00, 0.00,  2
