Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 47.00, 0.00, 5.00, 0.00, 0.00,  2
2,"Node 2", 47.00, 0.00, 5.00, 0.00, 0.00,  2
3,"Node 3", 36.00, 0.00, 16.00, 0.00, 0.00,  1
4,"Node 4", 47.00, 0.00, 5.00, 0.00, 0.00,  2
5,"Node 5", 49.00, 0.00, 3.00, 0.00, 0.00,  2
6,"Node 6", 43.00, 0.00, 9.00, 0.00, 0.00,  1
7,"Node 7", 0.00, 0.00, 0.00, 0.00, 0.00,  0
8,"Node 8", 49.00, 0.00, 3.00, 0.00, 0.00,  2
9,"Node 9", 48.00, 0.00, 4.00, 0.00, 0.00,  1
10,"Node 10", 49.00, 0.00, 3.00, 0.00, 0.00,  2
11,"Node 11", 44.00, 0.00, 8.00, 0.00, 0.00,  1
12,"Node 12", 49.00, 0.00, 3.00, 0.00, 0.00,  2
13,"Node 13", 48.00, 0.00, 4.00, 0.00, 0.00,  1
14,"Node 14", 49.00, 0.00, 3.00, 0.00, 0.00,  2
15,"Node 15", 46.00, 0.00, 6.00, 0.00, 0.00,  2
16,"Node 16", 46.00, 0.00, 6.00, 0.00, 0.00,  1
17,"Node 17", 49.00, 0.00, 3.00, 0.00, 0.00,  1
18,"Node 18", 48.00, 0.00, 4.00, 0.00, 0.00,  2
19,"Node 19", 48.00, 0.00, 4.00, 0.00, 0.00,  1
20,"Node 20", 49.00, 0.00, 3.00, 0.00, 0.00,  2
21,"Node 21", 43.00, 0.00, 9.00, 0.00, 0.00,  1
22,"Node 22", 52.00, 0.00, 0.00, 0.00, 0.00,  2
23,"Node 23", 49.00, 0.00, 3.00, 0.00, 0.00,  2
24,"Node 24", 47.00, 0.00, 5.00, 0.00, 0.00,  2
25,"Node 25", 48.00, 0.00, 4.00, 0.00, 0.00,  2
26,"Node 26", 51.00, 0.00, 1.00, 0.00, 0.00,  1
27,"Node 27", 0.00, 0.00, 0.00, 0.00, 0.00,  0
28,"Node 28", 45.00, 0.00, 7.00, 0.00, 0.00,  2
29,"Node 29", 44.00, 0.00, 8.00, 0.00, 0.00,  1
30,"Node 30", 51.00, 0.00, 1.00, 0.00, 0.00,  1
31,"Node 31", 48.00, 0.00, 4.00, 0.00, 0.00,  2
32,"Node 32", 49.00, 0.00, 3.00, 0.00, 0.00,  2
33,"Node 33", 46.00, 0.00, 6.00, 0.00, 0.00,  2
34,"Node 34", 49.00, 0.00, 3.00, 0.00, 0.00,  2
35,"Node 35", 47.00, 0.00, 5.00, 0.00, 0.00,  2
36,"Node 36", 50.00, 0.00, 2.00, 0.00, 0.00,  1
37,"Node 37", 44.00, 0.00, 8.00, 0.00, 0.00,  2
38,"Node 38", 47.00, 0.00, 5.00, 0.00, 0.00,  2
39,"Node 39", 47.00, 0.00, 5.00, 0.00, 0.00,  2
40,"Node 40", 48.00, 0.00, 4.00, 0.00, 0.00,  1
41,"Node 41", 48.00, 0.00, 4.00, 0.00, 0.00,  2
42,"Node 42", 49.00, 0.00, 3.00, 0.00, 0.00,  2
43,"Node 43", 47.00, 0.00, 5.00, 0.00, 0.00,  2
44,"Node 44", 0.00, 0.00, 0.00, 0.00, 0.00,  0
45,"Node 45", 46.00, 0.00, 6.00, 0.00, 0.00,  2
46,"Node 46", 47.00, 0.00, 5.00, 0.00, 0.00,  1
47,"Node 47", 48.00, 0.00, 4.00, 0.00, 0.00,  1
48,"Node 48", 0.00, 0.00, 0.00, 0.00, 0.00,  0
49,"Node 49", 47.00, 0.00, 5.00, 0.00, 0.00,  1
50,"Node 50", 48.00, 0.00, 4.00, 0.00, 0.00,  2
51,"Node 51", 48.00, 0.00, 4.00, 0.00, 0.00,  2
52,"Node 52", 44.00, 0.00, 8.00, 0.00, 0.00,  2
53,"Node 53", 46.00, 0.00, 6.00, 0.00, 0.00,  2
54,"Node 54", 49.00, 0.00, 3.00, 0.00, 0.00,  2
55,"Node 55", 41.00, 0.00, 11.00, 0.00, 0.00,  1
56,"Node 56", 50.00, 0.00, 2.00, 0.00, 0.00,  2
57,"Node 57", 49.00, 0.00, 3.00, 0.00, 0.00,  2
58,"Node 58", 49.00, 0.00, 3.00, 0.00, 0.00,  2
59,"Node 59", 0.00, 0.00, 0.00, 0.00, 0.00,  0
60,"Node 60", 42.00, 0.00, 10.00, 0.00, 0.00,  2
61,"Node 61", 51.00, 0.00, 1.00, 0.00, 0.00,  2
62,"Node 62", 50.00, 0.00, 2.00, 0.00, 0.00,  2
63,"Node 63", 45.00, 0.00, 7.00, 0.00, 0.00,  2
64,"Node 64", 48.00, 0.00, 4.00, 0.00, 0.00,  2
65,"Node 65", 48.00, 0.00, 4.00, 0.00, 0.00,  2
66,"Node 66", 48.00, 0.00, 4.00, 0.00, 0.00,  1
67,"Node 67", 52.00, 0.00, 0.00, 0.00, 0.00,  2
68,"Node 68", 48.00, 0.00, 4.00, 0.00, 0.00,  2
69,"Node 69", 47.00, 0.00, 5.00, 0.00, 0.00,  2
70,"Node 70", 47.00, 0.00, 5.00, 0.00, 0.00,  2
71,"Node 71", 48.00, 0.00, 4.00, 0.00, 0.00,  2
72,"Node 72", 48.00, 0.00, 4.00, 0.00, 0.00,  2
73,"Node 73", 47.00, 0.00, 5.00, 0.00, 0.00,  2
74,"Node 74", 48.00, 0.00, 4.00, 0.00, 0.00,  2
75,"Node 75", 48.00, 0.00, 4.00, 0.00, 0.00,  2
76,"Node 76", 46.00, 0.00, 6.00, 0.00, 0.00,  1
77,"Node 77", 51.00, 0.00, 1.00, 0.00, 0.00,  2
78,"Node 78", 47.00, 0.00, 5.00, 0.00, 0.00,  2
79,"Node 79", 49.00, 0.00, 3.00, 0.00, 0.00,  2
80,"Node 80", 49.00, 0.00, 3.00, 0.00, 0.00,  1
81,"Node 81", 48.00, 0.00, 4.00, 0.00, 0.00,  2
82,"Node 82", 45.00, 0.00, 7.00, 0.00, 0.00,  1
83,"Node 83", 47.00, 0.00, 5.00, 0.00, 0.00,  2
84,"Node 84", 47.00, 0.00, 5.00, 0.00, 0.00,  2
85,"Node 85", 45.00, 0.00, 7.00, 0.00, 0.00,  2
86,"Node 86", 47.00, 0.00, 5.00, 0.00, 0.00,  2
87,"Node 87", 33.00, 0.00, 19.00, 0.00, 0.00,  1
88,"Node 88", 47.00, 0.00, 5.00, 0.00, 0.00,  2
89,"Node 89", 47.00, 0.00, 5.00, 0.00, 0.00,  1
90,"Node 90", 51.00, 0.00, 1.00, 0.00, 0.00,  2
91,"Node 91", 50.00, 0.00, 2.00, 0.00, 0.00,  2
92,"Node 92", 47.00, 0.00, 5.00, 0.00, 0.00,  2
93,"Node 93", 48.00, 0.00, 4.00, 0.00, 0.00,  2
94,"Node 94", 45.00, 0.00, 7.00, 0.00, 0.00,  2
95,"Node 95", 47.00, 0.00, 5.00, 0.00, 0.00,  2
96,"Node 96", 49.00, 0.00, 3.00, 0.00, 0.00,  2
97,"Node 97", 48.00, 0.00, 4.00, 0.00, 0.00,  2
98,"Node 98", 48.00, 0.00, 4.00, 0.00, 0.00,  2
99,"Node 99", 48.00, 0.00, 4.00, 0.00, 0.00,  2
100,"Node 100", 48.00, 0.00, 4.00, 0.00, 0.00,  2
