Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
2,"Node 2", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
3,"Node 3", 1.00, 0.00, 51.00, 3794.00, 0.00, 0.00,  0,  1
4,"Node 4", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
5,"Node 5", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
6,"Node 6", 2.00, 0.00, 50.00, 1675.00, 0.00, 0.00,  0,  1
7,"Node 7", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
8,"Node 8", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
9,"Node 9", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
10,"Node 10", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
11,"Node 11", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
12,"Node 12", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
13,"Node 13", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
15,"Node 15", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
18,"Node 18", 2.00, 0.00, 50.00, 9.00, 0.00, 0.00,  0,  1
19,"Node 19", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
20,"Node 20", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 3.00, 0.00, 49.00, 12.00, 0.00, 0.00,  0,  1
22,"Node 22", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
24,"Node 24", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
26,"Node 26", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
30,"Node 30", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
32,"Node 32", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
34,"Node 34", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
35,"Node 35", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
36,"Node 36", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
37,"Node 37", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
39,"Node 39", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
41,"Node 41", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
42,"Node 42", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
43,"Node 43", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
46,"Node 46", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
48,"Node 48", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
50,"Node 50", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
51,"Node 51", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
53,"Node 53", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
56,"Node 56", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
