Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 49.00, 0.00, 3.00, 0.00, 0.00
2,"Node 2", 50.00, 0.00, 2.00, 0.00, 0.00
3,"Node 3", 50.00, 0.00, 2.00, 0.00, 0.00
4,"Node 4", 51.00, 0.00, 1.00, 0.00, 0.00
5,"Node 5", 50.00, 0.00, 2.00, 0.00, 0.00
6,"Node 6", 0.00, 0.00, 0.00, 0.00, 0.00
7,"Node 7", 50.00, 0.00, 2.00, 0.00, 0.00
8,"Node 8", 50.00, 0.00, 2.00, 0.00, 0.00
9,"Node 9", 50.00, 0.00, 2.00, 0.00, 0.00
10,"Node 10", 51.00, 0.00, 1.00, 0.00, 0.00
11,"Node 11", 50.00, 0.00, 2.00, 0.00, 0.00
12,"Node 12", 0.00, 0.00, 0.00, 0.00, 0.00
13,"Node 13", 0.00, 0.00, 0.00, 0.00, 0.00
14,"Node 14", 50.00, 0.00, 2.00, 0.00, 0.00
15,"Node 15", 51.00, 0.00, 1.00, 0.00, 0.00
16,"Node 16", 51.00, 0.00, 1.00, 0.00, 0.00
17,"Node 17", 51.00, 0.00, 1.00, 0.00, 0.00
18,"Node 18", 0.00, 0.00, 0.00, 0.00, 0.00
19,"Node 19", 0.00, 0.00, 0.00, 0.00, 0.00
20,"Node 20", 51.00, 0.00, 1.00, 0.00, 0.00
21,"Node 21", 49.00, 0.00, 3.00, 0.00, 0.00
22,"Node 22", 0.00, 0.00, 0.00, 0.00, 0.00
23,"Node 23", 49.00, 0.00, 3.00, 0.00, 0.00
24,"Node 24", 0.00, 0.00, 0.00, 0.00, 0.00
25,"Node 25", 0.00, 0.00, 0.00, 0.00, 0.00
26,"Node 26", 0.00, 0.00, 0.00, 0.00, 0.00
27,"Node 27", 50.00, 0.00, 2.00, 0.00, 0.00
28,"Node 28", 49.00, 0.00, 3.00, 0.00, 0.00
29,"Node 29", 0.00, 0.00, 0.00, 0.00, 0.00
30,"Node 30", 49.00, 0.00, 3.00, 0.00, 0.00
31,"Node 31", 50.00, 0.00, 2.00, 0.00, 0.00
32,"Node 32", 51.00, 0.00, 1.00, 0.00, 0.00
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00
34,"Node 34", 50.00, 0.00, 2.00, 0.00, 0.00
35,"Node 35", 51.00, 0.00, 1.00, 0.00, 0.00
36,"Node 36", 51.00, 0.00, 1.00, 0.00, 0.00
37,"Node 37", 49.00, 0.00, 3.00, 0.00, 0.00
38,"Node 38", 51.00, 0.00, 1.00, 0.00, 0.00
39,"Node 39", 49.00, 0.00, 3.00, 0.00, 0.00
40,"Node 40", 51.00, 0.00, 1.00, 0.00, 0.00
41,"Node 41", 49.00, 0.00, 3.00, 0.00, 0.00
42,"Node 42", 51.00, 0.00, 1.00, 0.00, 0.00
43,"Node 43", 51.00, 0.00, 1.00, 0.00, 0.00
44,"Node 44", 51.00, 0.00, 1.00, 0.00, 0.00
45,"Node 45", 49.00, 0.00, 3.00, 0.00, 0.00
46,"Node 46", 50.00, 0.00, 2.00, 0.00, 0.00
47,"Node 47", 51.00, 0.00, 1.00, 0.00, 0.00
48,"Node 48", 50.00, 0.00, 2.00, 0.00, 0.00
49,"Node 49", 52.00, 0.00, 0.00, 0.00, 0.00
50,"Node 50", 51.00, 0.00, 1.00, 0.00, 0.00
51,"Node 51", 51.00, 0.00, 1.00, 0.00, 0.00
52,"Node 52", 48.00, 0.00, 4.00, 0.00, 0.00
53,"Node 53", 49.00, 0.00, 3.00, 0.00, 0.00
54,"Node 54", 0.00, 0.00, 0.00, 0.00, 0.00
55,"Node 55", 50.00, 0.00, 2.00, 0.00, 0.00
56,"Node 56", 0.00, 0.00, 0.00, 0.00, 0.00
57,"Node 57", 0.00, 0.00, 0.00, 0.00, 0.00
58,"Node 58", 50.00, 0.00, 2.00, 0.00, 0.00
59,"Node 59", 51.00, 0.00, 1.00, 0.00, 0.00
60,"Node 60", 51.00, 0.00, 1.00, 0.00, 0.00
61,"Node 61", 51.00, 0.00, 1.00, 0.00, 0.00
62,"Node 62", 51.00, 0.00, 1.00, 0.00, 0.00
63,"Node 63", 50.00, 0.00, 2.00, 0.00, 0.00
64,"Node 64", 52.00, 0.00, 0.00, 0.00, 0.00
65,"Node 65", 51.00, 0.00, 1.00, 0.00, 0.00
66,"Node 66", 0.00, 0.00, 0.00, 0.00, 0.00
67,"Node 67", 52.00, 0.00, 0.00, 0.00, 0.00
68,"Node 68", 0.00, 0.00, 0.00, 0.00, 0.00
69,"Node 69", 51.00, 0.00, 1.00, 0.00, 0.00
70,"Node 70", 50.00, 0.00, 2.00, 0.00, 0.00
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00
72,"Node 72", 49.00, 0.00, 3.00, 0.00, 0.00
73,"Node 73", 52.00, 0.00, 0.00, 0.00, 0.00
74,"Node 74", 0.00, 0.00, 0.00, 0.00, 0.00
75,"Node 75", 52.00, 0.00, 0.00, 0.00, 0.00
76,"Node 76", 0.00, 0.00, 0.00, 0.00, 0.00
77,"Node 77", 51.00, 0.00, 1.00, 0.00, 0.00
78,"Node 78", 0.00, 0.00, 0.00, 0.00, 0.00
79,"Node 79", 51.00, 0.00, 1.00, 0.00, 0.00
80,"Node 80", 50.00, 0.00, 2.00, 0.00, 0.00
81,"Node 81", 0.00, 0.00, 0.00, 0.00, 0.00
82,"Node 82", 52.00, 0.00, 0.00, 0.00, 0.00
83,"Node 83", 51.00, 0.00, 1.00, 0.00, 0.00
84,"Node 84", 49.00, 0.00, 3.00, 0.00, 0.00
85,"Node 85", 51.00, 0.00, 1.00, 0.00, 0.00
86,"Node 86", 49.00, 0.00, 3.00, 0.00, 0.00
87,"Node 87", 0.00, 0.00, 0.00, 0.00, 0.00
88,"Node 88", 50.00, 0.00, 2.00, 0.00, 0.00
89,"Node 89", 49.00, 0.00, 3.00, 0.00, 0.00
90,"Node 90", 51.00, 0.00, 1.00, 0.00, 0.00
91,"Node 91", 50.00, 0.00, 2.00, 0.00, 0.00
